,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
0,19960128,1996,1,28,배추,,,,1525.0,1521.0
6,19960127,1996,1,27,배추,,,,1525.0,1521.0
14,19960129,1996,1,29,배추,,,,1521.0,1483.0
21,19960130,1996,1,30,배추,,,,1483.0,1479.0
28,19960131,1996,1,31,배추,,,,1479.0,1488.0
35,19960201,1996,2,1,배추,,,,1488.0,1508.0
42,19960202,1996,2,2,배추,,,,1508.0,1513.0
44,19960103,1996,1,3,배추,,,,,1570.0
46,19960105,1996,1,5,배추,,,,1467.0,1450.0
50,19960104,1996,1,4,배추,,,,1570.0,1467.0
62,19960106,1996,1,6,배추,,,,1467.0,1450.0
69,19960107,1996,1,7,배추,,,,1467.0,1450.0
76,19960108,1996,1,8,배추,,,,1450.0,1454.0
83,19960109,1996,1,9,배추,,,,1454.0,1446.0
90,19960110,1996,1,10,배추,,,,1446.0,1488.0
97,19960111,1996,1,11,배추,,,,1488.0,1517.0
104,19960112,1996,1,12,배추,,,,1517.0,1521.0
111,19960113,1996,1,13,배추,,,,1517.0,1521.0
118,19960114,1996,1,14,배추,,,,1517.0,1521.0
125,19960115,1996,1,15,배추,,,,1521.0,1525.0
129,19960116,1996,1,16,배추,,,,1525.0,1517.0
139,19960117,1996,1,17,배추,,,,1517.0,1521.0
146,19960118,1996,1,18,배추,,,,1521.0,1533.0
153,19960119,1996,1,19,배추,,,,1533.0,1538.0
160,19960120,1996,1,20,배추,,,,1533.0,1538.0
166,19960122,1996,1,22,배추,,,,1538.0,1521.0
174,19960121,1996,1,21,배추,,,,1533.0,1538.0
181,19960123,1996,1,23,배추,,,,1521.0,1513.0
188,19960124,1996,1,24,배추,,,,1513.0,1513.0
195,19960125,1996,1,25,배추,,,,1513.0,1525.0
202,19960126,1996,1,26,배추,,,,1525.0,1521.0
214,19960203,1996,2,3,배추,,,,1508.0,1513.0
221,19960204,1996,2,4,배추,,,,1508.0,1513.0
228,19960205,1996,2,5,배추,,,,1513.0,1558.0
235,19960206,1996,2,6,배추,,,,1558.0,1563.0
242,19960207,1996,2,7,배추,,,,1563.0,1567.0
249,19960208,1996,2,8,배추,,,,1567.0,1579.0
256,19960209,1996,2,9,배추,,,,1579.0,1583.0
263,19960210,1996,2,10,배추,,,,1579.0,1583.0
270,19960211,1996,2,11,배추,,,,1579.0,1583.0
277,19960212,1996,2,12,배추,,,,1583.0,1617.0
284,19960213,1996,2,13,배추,,,,1617.0,1621.0
291,19960214,1996,2,14,배추,,,,1621.0,1588.0
300,19960305,1996,3,5,배추,,,,1779.0,1813.0
307,19960306,1996,3,6,배추,,1333.333,,1813.0,1821.0
314,19960307,1996,3,7,배추,,1333.333,1333.333,1821.0,1821.0
321,19960308,1996,3,8,배추,,1333.333,1333.333,1821.0,1821.0
328,19960309,1996,3,9,배추,,1466.667,1333.333,1821.0,1821.0
335,19960310,1996,3,10,배추,,1466.667,1333.333,1821.0,1821.0
342,19960311,1996,3,11,배추,,1750.0,1466.667,1821.0,1938.0
349,19960312,1996,3,12,배추,,1716.667,1750.0,1938.0,1954.0
356,19960313,1996,3,13,배추,,1716.667,1716.667,1954.0,1992.0
363,19960314,1996,3,14,배추,,1716.667,1716.667,1992.0,2000.0
370,19960315,1996,3,15,배추,,1833.333,1716.667,2000.0,2008.0
379,19960215,1996,2,15,배추,,,,1588.0,1600.0
386,19960216,1996,2,16,배추,,,,1600.0,1571.0
393,19960217,1996,2,17,배추,,,,1600.0,1571.0
400,19960218,1996,2,18,배추,,,,1600.0,1571.0
407,19960219,1996,2,19,배추,,,,1600.0,1571.0
414,19960220,1996,2,20,배추,,,,1600.0,1571.0
421,19960316,1996,3,16,배추,,1966.667,1833.333,2000.0,2008.0
428,19960317,1996,3,17,배추,,1966.667,1833.333,2000.0,2008.0
435,19960318,1996,3,18,배추,,2333.333,1966.667,2008.0,2133.0
