,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
3,19960128,1996,1,28,¸¶´Ã,,,,2908.0,2908.0
9,19960127,1996,1,27,¸¶´Ã,,,,2908.0,2908.0
17,19960129,1996,1,29,¸¶´Ã,,,,2908.0,2908.0
24,19960130,1996,1,30,¸¶´Ã,,,,2908.0,2871.0
31,19960131,1996,1,31,¸¶´Ã,,,,2871.0,2871.0
38,19960201,1996,2,1,¸¶´Ã,,,,2871.0,2871.0
53,19960104,1996,1,4,¸¶´Ã,,,,,2983.0
58,19960105,1996,1,5,¸¶´Ã,,,,2983.0,2946.0
65,19960106,1996,1,6,¸¶´Ã,,,,2946.0,2946.0
72,19960107,1996,1,7,¸¶´Ã,,,,2946.0,2946.0
79,19960108,1996,1,8,¸¶´Ã,,,,2946.0,2946.0
86,19960109,1996,1,9,¸¶´Ã,,,,2946.0,2946.0
93,19960110,1996,1,10,¸¶´Ã,,,,2946.0,2946.0
100,19960111,1996,1,11,¸¶´Ã,,,,2946.0,2946.0
107,19960112,1996,1,12,¸¶´Ã,,,,2946.0,2946.0
114,19960113,1996,1,13,¸¶´Ã,,,,2946.0,2933.0
121,19960114,1996,1,14,¸¶´Ã,,,,2946.0,2933.0
128,19960115,1996,1,15,¸¶´Ã,,,,2946.0,2933.0
132,19960116,1996,1,16,¸¶´Ã,,,,2933.0,2925.0
142,19960117,1996,1,17,¸¶´Ã,,,,2925.0,2925.0
149,19960118,1996,1,18,¸¶´Ã,,,,2925.0,2929.0
156,19960119,1996,1,19,¸¶´Ã,,,,2929.0,2929.0
163,19960120,1996,1,20,¸¶´Ã,,,,2929.0,2929.0
169,19960122,1996,1,22,¸¶´Ã,,,,2929.0,2929.0
177,19960121,1996,1,21,¸¶´Ã,,,,2929.0,2929.0
184,19960123,1996,1,23,¸¶´Ã,,,,2929.0,2913.0
191,19960124,1996,1,24,¸¶´Ã,,,,2913.0,2913.0
198,19960125,1996,1,25,¸¶´Ã,,,,2913.0,2913.0
205,19960126,1996,1,26,¸¶´Ã,,,,2913.0,2908.0
210,19960202,1996,2,2,¸¶´Ã,,,,2871.0,2871.0
217,19960203,1996,2,3,¸¶´Ã,,,,2871.0,2871.0
224,19960204,1996,2,4,¸¶´Ã,,,,2871.0,2871.0
231,19960205,1996,2,5,¸¶´Ã,,,,2871.0,2871.0
238,19960206,1996,2,6,¸¶´Ã,,,,2871.0,2854.0
245,19960207,1996,2,7,¸¶´Ã,,,,2854.0,2854.0
252,19960208,1996,2,8,¸¶´Ã,,,,2854.0,2854.0
259,19960209,1996,2,9,¸¶´Ã,,,,2854.0,2854.0
266,19960210,1996,2,10,¸¶´Ã,,,,2854.0,2854.0
273,19960211,1996,2,11,¸¶´Ã,,,,2854.0,2854.0
280,19960212,1996,2,12,¸¶´Ã,,,,2854.0,2854.0
287,19960213,1996,2,13,¸¶´Ã,,,,2854.0,2854.0
294,19960214,1996,2,14,¸¶´Ã,,,,2854.0,2854.0
296,19960304,1996,3,4,¸¶´Ã,,,,2846.0,2846.0
303,19960305,1996,3,5,¸¶´Ã,,,,2846.0,2823.0
310,19960306,1996,3,6,¸¶´Ã,,,,2823.0,2804.0
317,19960307,1996,3,7,¸¶´Ã,,,,2804.0,2804.0
324,19960308,1996,3,8,¸¶´Ã,,,,2804.0,2804.0
331,19960309,1996,3,9,¸¶´Ã,,,,2804.0,2804.0
338,19960310,1996,3,10,¸¶´Ã,,,,2804.0,2804.0
345,19960311,1996,3,11,¸¶´Ã,,,,2804.0,2804.0
352,19960312,1996,3,12,¸¶´Ã,,,,2804.0,2796.0
359,19960313,1996,3,13,¸¶´Ã,,,,2796.0,2796.0
366,19960314,1996,3,14,¸¶´Ã,,,,2796.0,2796.0
373,19960315,1996,3,15,¸¶´Ã,,,,2796.0,2796.0
382,19960215,1996,2,15,¸¶´Ã,,,,2854.0,2854.0
389,19960216,1996,2,16,¸¶´Ã,,,,2854.0,2854.0
396,19960217,1996,2,17,¸¶´Ã,,,,2854.0,2854.0
403,19960218,1996,2,18,¸¶´Ã,,,,2854.0,2854.0
410,19960219,1996,2,19,¸¶´Ã,,,,2854.0,2854.0
417,19960220,1996,2,20,¸¶´Ã,,,,2854.0,2854.0
424,19960316,1996,3,16,¸¶´Ã,,,,2796.0,2796.0
431,19960317,1996,3,17,¸¶´Ã,,,,2796.0,2796.0
438,19960318,1996,3,18,¸¶´Ã,,,,2796.0,2796.0
445,19960319,1996,3,19,¸¶´Ã,,,,2796.0,2779.0
452,19960320,1996,3,20,¸¶´Ã,,,,2779.0,2771.0
459,19960321,1996,3,21,¸¶´Ã,,,,2771.0,2763.0
464,19960221,1996,2,21,¸¶´Ã,,,,2854.0,2854.0
471,19960222,1996,2,22,¸¶´Ã,,,,2854.0,2854.0
478,19960223,1996,2,23,¸¶´Ã,,,,2854.0,2854.0
485,19960224,1996,2,24,¸¶´Ã,,,,2854.0,2854.0
492,19960225,1996,2,25,¸¶´Ã,,,,2854.0,2854.0
499,19960226,1996,2,26,¸¶´Ã,,,,2854.0,2854.0
506,19960227,1996,2,27,¸¶´Ã,,,,2854.0,2846.0
513,19960228,1996,2,28,¸¶´Ã,,,,2846.0,2846.0
520,19960229,1996,2,29,¸¶´Ã,,,,2846.0,2846.0
527,19960301,1996,3,1,¸¶´Ã,,,,2846.0,2846.0
534,19960302,1996,3,2,¸¶´Ã,,,,2846.0,2846.0
541,19960303,1996,3,3,¸¶´Ã,,,,2846.0,2846.0
549,19960413,1996,4,13,¸¶´Ã,,,,2688.0,2688.0
556,19960414,1996,4,14,¸¶´Ã,,,,2688.0,2688.0
563,19960415,1996,4,15,¸¶´Ã,,,,2688.0,2688.0
570,19960416,1996,4,16,¸¶´Ã,,,,2688.0,2721.0
577,19960417,1996,4,17,¸¶´Ã,,,,2721.0,2721.0
584,19960418,1996,4,18,¸¶´Ã,,,,2721.0,2708.0
591,19960419,1996,4,19,¸¶´Ã,,,,2708.0,2708.0
598,19960420,1996,4,20,¸¶´Ã,,,,2708.0,2692.0
605,19960421,1996,4,21,¸¶´Ã,,,,2708.0,2692.0
612,19960422,1996,4,22,¸¶´Ã,,,,2708.0,2692.0
619,19960423,1996,4,23,¸¶´Ã,,,,2692.0,2700.0
626,19960424,1996,4,24,¸¶´Ã,,,,2700.0,2700.0
633,19960425,1996,4,25,¸¶´Ã,,,,2700.0,2700.0
640,19960426,1996,4,26,¸¶´Ã,,,,2700.0,2700.0
647,19960427,1996,4,27,¸¶´Ã,,,,2700.0,2700.0
654,19960428,1996,4,28,¸¶´Ã,,,,2700.0,2700.0
661,19960429,1996,4,29,¸¶´Ã,,,,2700.0,2700.0
673,19960322,1996,3,22,¸¶´Ã,,,,2763.0,2763.0
680,19960323,1996,3,23,¸¶´Ã,,,,2763.0,2763.0
687,19960324,1996,3,24,¸¶´Ã,,,,2763.0,2763.0
694,19960325,1996,3,25,¸¶´Ã,,,,2763.0,2763.0
701,19960326,1996,3,26,¸¶´Ã,,,,2763.0,2754.0
708,19960327,1996,3,27,¸¶´Ã,,,,2754.0,2738.0
715,19960328,1996,3,28,¸¶´Ã,,,,2738.0,2729.0
722,19960329,1996,3,29,¸¶´Ã,,,,2729.0,2729.0
729,19960330,1996,3,30,¸¶´Ã,,,,2729.0,2721.0
736,19960331,1996,3,31,¸¶´Ã,,,,2729.0,2721.0
743,19960401,1996,4,1,¸¶´Ã,,,,2729.0,2721.0
750,19960402,1996,4,2,¸¶´Ã,,,,2721.0,2713.0
757,19960403,1996,4,3,¸¶´Ã,,,,2713.0,2713.0
764,19960404,1996,4,4,¸¶´Ã,,,,2713.0,2713.0
771,19960405,1996,4,5,¸¶´Ã,,,,2713.0,2713.0
778,19960406,1996,4,6,¸¶´Ã,,,,2713.0,2713.0
785,19960407,1996,4,7,¸¶´Ã,,,,2713.0,2713.0
792,19960408,1996,4,8,¸¶´Ã,,,,2713.0,2713.0
799,19960409,1996,4,9,¸¶´Ã,,,,2713.0,2704.0
806,19960410,1996,4,10,¸¶´Ã,,,,2704.0,2688.0
813,19960411,1996,4,11,¸¶´Ã,,,,2688.0,2688.0
820,19960412,1996,4,12,¸¶´Ã,,,,2688.0,2688.0
826,19960430,1996,4,30,¸¶´Ã,,,,2700.0,2700.0
833,19960501,1996,5,1,¸¶´Ã,,,,2700.0,2700.0
840,19960502,1996,5,2,¸¶´Ã,,,,2700.0,2700.0
847,19960503,1996,5,3,¸¶´Ã,,,,2700.0,2700.0
854,19960504,1996,5,4,¸¶´Ã,,,,2700.0,2700.0
861,19960505,1996,5,5,¸¶´Ã,,,,2700.0,2700.0
868,19960506,1996,5,6,¸¶´Ã,,,,2700.0,2700.0
875,19960507,1996,5,7,¸¶´Ã,,,,2700.0,2683.0
882,19960508,1996,5,8,¸¶´Ã,,,,2683.0,2675.0
889,19960509,1996,5,9,¸¶´Ã,,,,2675.0,2675.0
896,19960510,1996,5,10,¸¶´Ã,,,,2675.0,2675.0
903,19960511,1996,5,11,¸¶´Ã,,,,2675.0,2675.0
907,19960523,1996,5,23,¸¶´Ã,,,,2908.0,2908.0
914,19960524,1996,5,24,¸¶´Ã,,,,2908.0,2925.0
921,19960525,1996,5,25,¸¶´Ã,,,,2908.0,2925.0
928,19960526,1996,5,26,¸¶´Ã,,,,2908.0,2925.0
935,19960527,1996,5,27,¸¶´Ã,,,,2908.0,2925.0
942,19960528,1996,5,28,¸¶´Ã,,,,2925.0,2917.0
949,19960529,1996,5,29,¸¶´Ã,,,,2917.0,2917.0
956,19960530,1996,5,30,¸¶´Ã,,,,2917.0,2917.0
963,19960531,1996,5,31,¸¶´Ã,,,,2917.0,2925.0
970,19960601,1996,6,1,¸¶´Ã,,,,2925.0,2925.0
977,19960602,1996,6,2,¸¶´Ã,,,,2925.0,2925.0
984,19960603,1996,6,3,¸¶´Ã,,,,2925.0,2925.0
991,19960604,1996,6,4,¸¶´Ã,,,,2925.0,2933.0
998,19960605,1996,6,5,¸¶´Ã,,,,2933.0,2883.0
1005,19960606,1996,6,6,¸¶´Ã,,,,2883.0,2858.0
1012,19960607,1996,6,7,¸¶´Ã,,,,2883.0,2858.0
1019,19960608,1996,6,8,¸¶´Ã,,,,2858.0,2842.0
1026,19960609,1996,6,9,¸¶´Ã,,,,2858.0,2842.0
1033,19960610,1996,6,10,¸¶´Ã,,,,2858.0,2842.0
1040,19960611,1996,6,11,¸¶´Ã,,,,2842.0,2842.0
1047,19960612,1996,6,12,¸¶´Ã,,,,2842.0,2858.0
1054,19960613,1996,6,13,¸¶´Ã,,,,2858.0,2850.0
1061,19960614,1996,6,14,¸¶´Ã,,,,2850.0,2867.0
1068,19960615,1996,6,15,¸¶´Ã,,,,2867.0,2867.0
1077,19960512,1996,5,12,¸¶´Ã,,,,2675.0,2675.0
1084,19960513,1996,5,13,¸¶´Ã,,,,2675.0,2675.0
1091,19960514,1996,5,14,¸¶´Ã,,,,2675.0,2704.0
1098,19960515,1996,5,15,¸¶´Ã,,,,2704.0,2754.0
1105,19960516,1996,5,16,¸¶´Ã,,,,2754.0,2792.0
1112,19960517,1996,5,17,¸¶´Ã,,,,2792.0,2833.0
1119,19960518,1996,5,18,¸¶´Ã,,,,2833.0,2875.0
1126,19960519,1996,5,19,¸¶´Ã,,,,2833.0,2875.0
1133,19960520,1996,5,20,¸¶´Ã,,,,2833.0,2875.0
1140,19960521,1996,5,21,¸¶´Ã,,,,2875.0,2900.0
1147,19960522,1996,5,22,¸¶´Ã,,,,2900.0,2908.0
1160,19960711,1996,7,11,¸¶´Ã,,,,2958.0,2967.0
1167,19960712,1996,7,12,¸¶´Ã,,,,2967.0,2975.0
1174,19960713,1996,7,13,¸¶´Ã,,,,2975.0,2975.0
1181,19960714,1996,7,14,¸¶´Ã,,,,2975.0,2975.0
1188,19960715,1996,7,15,¸¶´Ã,,,,2975.0,2975.0
1195,19960716,1996,7,16,¸¶´Ã,,,,2975.0,3000.0
1202,19960717,1996,7,17,¸¶´Ã,,,,3000.0,3058.0
