,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
2,19960128,1996,1,28,건고추,,5328.57,5328.57,6267.0,6267.0
8,19960127,1996,1,27,건고추,,5328.57,5328.57,6267.0,6267.0
16,19960129,1996,1,29,건고추,,5328.57,5328.57,6267.0,6267.0
23,19960130,1996,1,30,건고추,,5364.29,5328.57,6267.0,6283.0
30,19960131,1996,1,31,건고추,,5364.29,5364.29,6283.0,6283.0
37,19960201,1996,2,1,건고추,,5371.43,5364.29,6283.0,6283.0
52,19960104,1996,1,4,건고추,,5208.33,,,6144.0
57,19960105,1996,1,5,건고추,,5185.71,5208.33,6144.0,6167.0
64,19960106,1996,1,6,건고추,,5185.71,5185.71,6167.0,6167.0
71,19960107,1996,1,7,건고추,,5185.71,5185.71,6167.0,6167.0
78,19960108,1996,1,8,건고추,,5185.71,5185.71,6167.0,6167.0
85,19960109,1996,1,9,건고추,,5185.71,5185.71,6167.0,6167.0
92,19960110,1996,1,10,건고추,,5185.71,5185.71,6167.0,6167.0
99,19960111,1996,1,11,건고추,,5185.71,5185.71,6167.0,6167.0
106,19960112,1996,1,12,건고추,,5185.71,5185.71,6167.0,6167.0
113,19960113,1996,1,13,건고추,,5185.71,5185.71,6167.0,6167.0
120,19960114,1996,1,14,건고추,,5185.71,5185.71,6167.0,6167.0
127,19960115,1996,1,15,건고추,,5185.71,5185.71,6167.0,6167.0
131,19960116,1996,1,16,건고추,,5185.71,5185.71,6167.0,6167.0
141,19960117,1996,1,17,건고추,,5185.71,5185.71,6167.0,6167.0
148,19960118,1996,1,18,건고추,,5200.0,5185.71,6167.0,6167.0
155,19960119,1996,1,19,건고추,,5221.43,5200.0,6167.0,6192.0
162,19960120,1996,1,20,건고추,,5235.71,5221.43,6192.0,6208.0
168,19960122,1996,1,22,건고추,,5235.71,5221.43,6192.0,6208.0
176,19960121,1996,1,21,건고추,,5235.71,5221.43,6192.0,6208.0
183,19960123,1996,1,23,건고추,,5253.57,5235.71,6208.0,6233.0
190,19960124,1996,1,24,건고추,,5285.71,5253.57,6233.0,6242.0
197,19960125,1996,1,25,건고추,,5321.43,5285.71,6242.0,6267.0
204,19960126,1996,1,26,건고추,,5328.57,5321.43,6267.0,6267.0
209,19960202,1996,2,2,건고추,,5378.57,5371.43,6283.0,6283.0
216,19960203,1996,2,3,건고추,,5378.57,5378.57,6283.0,6242.0
223,19960204,1996,2,4,건고추,,5378.57,5378.57,6283.0,6242.0
230,19960205,1996,2,5,건고추,,5378.57,5378.57,6283.0,6242.0
237,19960206,1996,2,6,건고추,,5400.0,5378.57,6242.0,6283.0
244,19960207,1996,2,7,건고추,,5407.14,5400.0,6283.0,6292.0
251,19960208,1996,2,8,건고추,,5407.14,5407.14,6292.0,6300.0
258,19960209,1996,2,9,건고추,,5407.14,5407.14,6300.0,6308.0
265,19960210,1996,2,10,건고추,,5407.14,5407.14,6308.0,6308.0
272,19960211,1996,2,11,건고추,,5407.14,5407.14,6308.0,6308.0
279,19960212,1996,2,12,건고추,,5407.14,5407.14,6308.0,6308.0
286,19960213,1996,2,13,건고추,,5407.14,5407.14,6308.0,6308.0
293,19960214,1996,2,14,건고추,,5407.14,5407.14,6308.0,6308.0
302,19960305,1996,3,5,건고추,,5421.43,5414.29,6325.0,6342.0
309,19960306,1996,3,6,건고추,,5421.43,5421.43,6342.0,6342.0
316,19960307,1996,3,7,건고추,,5421.43,5421.43,6342.0,6342.0
323,19960308,1996,3,8,건고추,,5421.43,5421.43,6342.0,6342.0
330,19960309,1996,3,9,건고추,,5442.86,5421.43,6342.0,6367.0
337,19960310,1996,3,10,건고추,,5442.86,5421.43,6342.0,6367.0
344,19960311,1996,3,11,건고추,,5442.86,5421.43,6342.0,6367.0
351,19960312,1996,3,12,건고추,,5442.86,5442.86,6367.0,6367.0
358,19960313,1996,3,13,건고추,,5442.86,5442.86,6367.0,6367.0
365,19960314,1996,3,14,건고추,,5442.86,5442.86,6367.0,6367.0
372,19960315,1996,3,15,건고추,,5442.86,5442.86,6367.0,6400.0
381,19960215,1996,2,15,건고추,,5407.14,5407.14,6308.0,6308.0
388,19960216,1996,2,16,건고추,,5407.14,5407.14,6308.0,6308.0
395,19960217,1996,2,17,건고추,,5407.14,5407.14,6308.0,6308.0
402,19960218,1996,2,18,건고추,,5407.14,5407.14,6308.0,6308.0
409,19960219,1996,2,19,건고추,,5407.14,5407.14,6308.0,6308.0
416,19960220,1996,2,20,건고추,,5407.14,5407.14,6308.0,6308.0
423,19960316,1996,3,16,건고추,,5442.86,5442.86,6400.0,6400.0
430,19960317,1996,3,17,건고추,,5442.86,5442.86,6400.0,6400.0
437,19960318,1996,3,18,건고추,,5442.86,5442.86,6400.0,6400.0
444,19960319,1996,3,19,건고추,,5442.86,5442.86,6400.0,6400.0
451,19960320,1996,3,20,건고추,,5442.86,5442.86,6400.0,6400.0
458,19960321,1996,3,21,건고추,,5450.0,5442.86,6400.0,6408.0
463,19960221,1996,2,21,건고추,,5407.14,5407.14,6308.0,6308.0
470,19960222,1996,2,22,건고추,,5407.14,5407.14,6308.0,6308.0
477,19960223,1996,2,23,건고추,,5407.14,5407.14,6308.0,6308.0
484,19960224,1996,2,24,건고추,,5407.14,5407.14,6308.0,6308.0
491,19960225,1996,2,25,건고추,,5407.14,5407.14,6308.0,6308.0
498,19960226,1996,2,26,건고추,,5407.14,5407.14,6308.0,6308.0
505,19960227,1996,2,27,건고추,,5407.14,5407.14,6308.0,6308.0
512,19960228,1996,2,28,건고추,,5414.29,5407.14,6308.0,6325.0
519,19960229,1996,2,29,건고추,,5414.29,5414.29,6325.0,6325.0
526,19960301,1996,3,1,건고추,,5414.29,5414.29,6325.0,6325.0
533,19960302,1996,3,2,건고추,,5414.29,5414.29,6325.0,6325.0
540,19960303,1996,3,3,건고추,,5414.29,5414.29,6325.0,6325.0
547,19960304,1996,3,4,건고추,,5414.29,5414.29,6325.0,6325.0
548,19960413,1996,4,13,건고추,,5442.86,5442.86,6400.0,6400.0
555,19960414,1996,4,14,건고추,,5442.86,5442.86,6400.0,6400.0
562,19960415,1996,4,15,건고추,,5442.86,5442.86,6400.0,6400.0
569,19960416,1996,4,16,건고추,,5442.86,5442.86,6400.0,6400.0
576,19960417,1996,4,17,건고추,,5442.86,5442.86,6400.0,6400.0
583,19960418,1996,4,18,건고추,,5442.86,5442.86,6400.0,6400.0
590,19960419,1996,4,19,건고추,,5442.86,5442.86,6400.0,6400.0
597,19960420,1996,4,20,건고추,,5442.86,5442.86,6400.0,6400.0
604,19960421,1996,4,21,건고추,,5442.86,5442.86,6400.0,6400.0
611,19960422,1996,4,22,건고추,,5442.86,5442.86,6400.0,6400.0
618,19960423,1996,4,23,건고추,,5442.86,5442.86,6400.0,6400.0
625,19960424,1996,4,24,건고추,,5442.86,5442.86,6400.0,6400.0
632,19960425,1996,4,25,건고추,,5442.86,5442.86,6400.0,6400.0
639,19960426,1996,4,26,건고추,,5442.86,5442.86,6400.0,6400.0
646,19960427,1996,4,27,건고추,,5442.86,5442.86,6400.0,6400.0
653,19960428,1996,4,28,건고추,,5442.86,5442.86,6400.0,6400.0
660,19960429,1996,4,29,건고추,,5442.86,5442.86,6400.0,6400.0
667,19960430,1996,4,30,건고추,,5442.86,5442.86,6400.0,6400.0
672,19960322,1996,3,22,건고추,,5457.14,5450.0,6408.0,6417.0
679,19960323,1996,3,23,건고추,,5457.14,5457.14,6417.0,6417.0
686,19960324,1996,3,24,건고추,,5457.14,5457.14,6417.0,6417.0
693,19960325,1996,3,25,건고추,,5457.14,5457.14,6417.0,6417.0
700,19960326,1996,3,26,건고추,,5457.14,5457.14,6417.0,6417.0
707,19960327,1996,3,27,건고추,,5457.14,5457.14,6417.0,6417.0
714,19960328,1996,3,28,건고추,,5457.14,5457.14,6417.0,6417.0
721,19960329,1996,3,29,건고추,,5457.14,5457.14,6417.0,6417.0
728,19960330,1996,3,30,건고추,,5457.14,5457.14,6417.0,6417.0
735,19960331,1996,3,31,건고추,,5457.14,5457.14,6417.0,6417.0
742,19960401,1996,4,1,건고추,,5457.14,5457.14,6417.0,6417.0
749,19960402,1996,4,2,건고추,,5457.14,5457.14,6417.0,6417.0
756,19960403,1996,4,3,건고추,,5457.14,5457.14,6417.0,6417.0
763,19960404,1996,4,4,건고추,,5457.14,5457.14,6417.0,6417.0
770,19960405,1996,4,5,건고추,,5464.29,5457.14,6417.0,6425.0
777,19960406,1996,4,6,건고추,,5464.29,5457.14,6417.0,6425.0
784,19960407,1996,4,7,건고추,,5464.29,5464.29,6425.0,6425.0
791,19960408,1996,4,8,건고추,,5464.29,5464.29,6425.0,6425.0
798,19960409,1996,4,9,건고추,,5450.0,5464.29,6425.0,6425.0
805,19960410,1996,4,10,건고추,,5450.0,5450.0,6425.0,6400.0
812,19960411,1996,4,11,건고추,,5442.86,5450.0,6400.0,6400.0
819,19960412,1996,4,12,건고추,,5442.86,5450.0,6400.0,6400.0
832,19960501,1996,5,1,건고추,,5442.86,5442.86,6400.0,6400.0
839,19960502,1996,5,2,건고추,,5442.86,5442.86,6400.0,6400.0
846,19960503,1996,5,3,건고추,,5442.86,5442.86,6400.0,6400.0
853,19960504,1996,5,4,건고추,,5442.86,5442.86,6400.0,6400.0
860,19960505,1996,5,5,건고추,,5442.86,5442.86,6400.0,6400.0
867,19960506,1996,5,6,건고추,,5442.86,5442.86,6400.0,6400.0
874,19960507,1996,5,7,건고추,,5442.86,5442.86,6400.0,6400.0
881,19960508,1996,5,8,건고추,,5450.0,5442.86,6400.0,6417.0
888,19960509,1996,5,9,건고추,,5428.57,5450.0,6417.0,6417.0
895,19960510,1996,5,10,건고추,,5428.57,5428.57,6417.0,6417.0
902,19960511,1996,5,11,건고추,,5428.57,5428.57,6417.0,6417.0
913,19960524,1996,5,24,건고추,,5342.86,5350.0,6342.0,6333.0
920,19960525,1996,5,25,건고추,,5342.86,5350.0,6342.0,6333.0
927,19960526,1996,5,26,건고추,,5342.86,5350.0,6342.0,6333.0
