,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
1,19960128,1996,1,28,公,,,,1000.0,1013.0
7,19960127,1996,1,27,公,,,,1000.0,1013.0
15,19960129,1996,1,29,公,,,,1013.0,1004.0
22,19960130,1996,1,30,公,,,,1004.0,1004.0
29,19960131,1996,1,31,公,,,,1004.0,996.0
36,19960201,1996,2,1,公,,,,996.0,967.0
43,19960202,1996,2,2,公,,,,967.0,983.0
45,19960103,1996,1,3,公,,,,,956.0
47,19960105,1996,1,5,公,,,,940.0,933.0
51,19960104,1996,1,4,公,,,,956.0,940.0
63,19960106,1996,1,6,公,,,,940.0,933.0
70,19960107,1996,1,7,公,,,,940.0,933.0
77,19960108,1996,1,8,公,,,,933.0,938.0
84,19960109,1996,1,9,公,,,,938.0,969.0
91,19960110,1996,1,10,公,,,,969.0,994.0
98,19960111,1996,1,11,公,,,,994.0,979.0
105,19960112,1996,1,12,公,,,,979.0,963.0
112,19960113,1996,1,13,公,,,,979.0,963.0
119,19960114,1996,1,14,公,,,,979.0,963.0
126,19960115,1996,1,15,公,,,,963.0,967.0
130,19960116,1996,1,16,公,,,,967.0,971.0
140,19960117,1996,1,17,公,,,,971.0,974.0
147,19960118,1996,1,18,公,,,,974.0,987.0
154,19960119,1996,1,19,公,,,,987.0,987.0
161,19960120,1996,1,20,公,,,,987.0,987.0
167,19960122,1996,1,22,公,,,,987.0,989.0
175,19960121,1996,1,21,公,,,,987.0,987.0
182,19960123,1996,1,23,公,,,,989.0,992.0
189,19960124,1996,1,24,公,,,,992.0,992.0
196,19960125,1996,1,25,公,,,,992.0,1000.0
203,19960126,1996,1,26,公,,,,1000.0,1013.0
215,19960203,1996,2,3,公,,,,967.0,983.0
222,19960204,1996,2,4,公,,,,967.0,983.0
229,19960205,1996,2,5,公,,,,983.0,979.0
236,19960206,1996,2,6,公,,,,979.0,992.0
243,19960207,1996,2,7,公,,,,992.0,1000.0
250,19960208,1996,2,8,公,,,,1000.0,1004.0
257,19960209,1996,2,9,公,,,,1004.0,1017.0
264,19960210,1996,2,10,公,,,,1004.0,1017.0
271,19960211,1996,2,11,公,,,,1004.0,1017.0
278,19960212,1996,2,12,公,,,,1017.0,1067.0
285,19960213,1996,2,13,公,,,,1067.0,1092.0
292,19960214,1996,2,14,公,,,,1092.0,1088.0
301,19960305,1996,3,5,公,,,,1188.0,1196.0
308,19960306,1996,3,6,公,,,,1196.0,1213.0
315,19960307,1996,3,7,公,,,,1213.0,1213.0
322,19960308,1996,3,8,公,,,,1213.0,1229.0
329,19960309,1996,3,9,公,,,,1213.0,1229.0
336,19960310,1996,3,10,公,,,,1213.0,1229.0
343,19960311,1996,3,11,公,,,,1229.0,1279.0
350,19960312,1996,3,12,公,,,,1279.0,1288.0
357,19960313,1996,3,13,公,,,,1288.0,1296.0
364,19960314,1996,3,14,公,,,,1296.0,1296.0
371,19960315,1996,3,15,公,,,,1296.0,1304.0
380,19960215,1996,2,15,公,,,,1088.0,1096.0
387,19960216,1996,2,16,公,,,,1096.0,1096.0
394,19960217,1996,2,17,公,,,,1096.0,1096.0
401,19960218,1996,2,18,公,,,,1096.0,1096.0
408,19960219,1996,2,19,公,,,,1096.0,1096.0
415,19960220,1996,2,20,公,,,,1096.0,1096.0
422,19960316,1996,3,16,公,,,,1296.0,1304.0
429,19960317,1996,3,17,公,,,,1296.0,1304.0
436,19960318,1996,3,18,公,,,,1304.0,1304.0
443,19960319,1996,3,19,公,,,,1304.0,1313.0
450,19960320,1996,3,20,公,,,,1313.0,1313.0
457,19960321,1996,3,21,公,,,,1313.0,1308.0
462,19960221,1996,2,21,公,,,,1096.0,1088.0
469,19960222,1996,2,22,公,,,,1088.0,1092.0
476,19960223,1996,2,23,公,,,,1092.0,1117.0
483,19960224,1996,2,24,公,,,,1092.0,1117.0
490,19960225,1996,2,25,公,,,,1092.0,1117.0
497,19960226,1996,2,26,公,,,,1117.0,1146.0
504,19960227,1996,2,27,公,,,,1146.0,1171.0
511,19960228,1996,2,28,公,,,,1171.0,1179.0
518,19960229,1996,2,29,公,,,,1179.0,1179.0
525,19960301,1996,3,1,公,,,,1179.0,1179.0
532,19960302,1996,3,2,公,,,,1179.0,1179.0
539,19960303,1996,3,3,公,,,,1179.0,1179.0
546,19960304,1996,3,4,公,,,,1179.0,1188.0
554,19960414,1996,4,14,公,,,,1388.0,1446.0
561,19960415,1996,4,15,公,,,,1446.0,1554.0
568,19960416,1996,4,16,公,,,,1554.0,1562.0
575,19960417,1996,4,17,公,,,,1562.0,1569.0
582,19960418,1996,4,18,公,,,,1569.0,1631.0
589,19960419,1996,4,19,公,,,,1631.0,1638.0
596,19960420,1996,4,20,公,,,,1631.0,1638.0
603,19960421,1996,4,21,公,,,,1631.0,1638.0
610,19960422,1996,4,22,公,,,,1638.0,1867.0
617,19960423,1996,4,23,公,,,,1867.0,1858.0
624,19960424,1996,4,24,公,,,,1858.0,1846.0
631,19960425,1996,4,25,公,,,,1846.0,1873.0
638,19960426,1996,4,26,公,,,,1873.0,1914.0
645,19960427,1996,4,27,公,,,,1873.0,1914.0
652,19960428,1996,4,28,公,,,,1873.0,1914.0
659,19960429,1996,4,29,公,,,,1914.0,1871.0
666,19960430,1996,4,30,公,,,,1871.0,1900.0
671,19960322,1996,3,22,公,,,,1308.0,1317.0
678,19960323,1996,3,23,公,,,,1308.0,1317.0
685,19960324,1996,3,24,公,,,,1308.0,1317.0
692,19960325,1996,3,25,公,,,,1317.0,1333.0
699,19960326,1996,3,26,公,,,,1333.0,1325.0
706,19960327,1996,3,27,公,,,,1325.0,1333.0
713,19960328,1996,3,28,公,,,,1333.0,1333.0
720,19960329,1996,3,29,公,,,,1333.0,1333.0
727,19960330,1996,3,30,公,,,,1333.0,1333.0
734,19960331,1996,3,31,公,,,,1333.0,1333.0
741,19960401,1996,4,1,公,,,,1333.0,1317.0
748,19960402,1996,4,2,公,,,,1317.0,1317.0
755,19960403,1996,4,3,公,,,,1317.0,1313.0
762,19960404,1996,4,4,公,,,,1313.0,1317.0
769,19960405,1996,4,5,公,,,,1313.0,1317.0
776,19960406,1996,4,6,公,,,,1317.0,1321.0
783,19960407,1996,4,7,公,,,,1317.0,1321.0
790,19960408,1996,4,8,公,,,,1321.0,1388.0
797,19960409,1996,4,9,公,,,,1388.0,1392.0
804,19960410,1996,4,10,公,,,,1392.0,1388.0
811,19960411,1996,4,11,公,,,,1392.0,1388.0
818,19960412,1996,4,12,公,,,,1388.0,1446.0
825,19960413,1996,4,13,公,,,,1388.0,1446.0
831,19960501,1996,5,1,公,,,,1871.0,1900.0
838,19960502,1996,5,2,公,,,,1900.0,1928.0
845,19960503,1996,5,3,公,,,,1928.0,1928.0
852,19960504,1996,5,4,公,,,,1928.0,1928.0
859,19960505,1996,5,5,公,,,,1928.0,1928.0
866,19960506,1996,5,6,公,,,,1928.0,1906.0
873,19960507,1996,5,7,公,,,,1906.0,1894.0
880,19960508,1996,5,8,公,,,,1894.0,1863.0
887,19960509,1996,5,9,公,,,,1863.0,1860.0
894,19960510,1996,5,10,公,,,,1860.0,1860.0
901,19960511,1996,5,11,公,,,,1860.0,1860.0
912,19960524,1996,5,24,公,,,,1467.0,1421.0
919,19960525,1996,5,25,公,,,,1467.0,1421.0
926,19960526,1996,5,26,公,,,,1467.0,1421.0
933,19960527,1996,5,27,公,,,,1421.0,1296.0
940,19960528,1996,5,28,公,,,,1296.0,1238.0
947,19960529,1996,5,29,公,,,,1238.0,1213.0
954,19960530,1996,5,30,公,,,,1213.0,1188.0
961,19960531,1996,5,31,公,,,,1188.0,1171.0
968,19960601,1996,6,1,公,,,,1188.0,1171.0
975,19960602,1996,6,2,公,,,,1188.0,1171.0
